,DefaultProperty,Descriptor,Designation,DisciplineDescriptor,DisciplineId,FunctionName,HasChild,Location,ManagedType,Name,SubDisciplineDescriptor,SubDisciplineId,SubTypeDescriptor,SubTypeId,SystemId,TypeDescriptor,TypeId,ViewId,_links,Building,Area,Type,PointGroup,Equip,SubEquip1,SubEquip2,PointType
Project:GmsDevice_1_35_8,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'HSS'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HSS'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HSS,DetSen,,,Brgt
Project:GmsDevice_1_35_9,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen,,,Brgt
Project:GmsDevice_1_36_11,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'FO1'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'FO1'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,FO1,DetSen,,,Brgt
Project:GmsDevice_1_36_12,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'FO2'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'FO2'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,FO2,DetSen,,,Brgt
Project:GmsDevice_1_36_13,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'FO3'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'FO3'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,FO3,DetSen,,,Brgt
Project:GmsDevice_1_36_14,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'FS'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'FS'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,FS,DetSen,,,Brgt
Project:GmsDevice_1_36_15,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'HRM'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HRM'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HRM,DetSen,,,Brgt
Project:GmsDevice_1_36_16,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'HRO1'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HRO1'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HRO1,DetSen,,,Brgt
Project:GmsDevice_1_36_17,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'HRO2'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HRO2'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HRO2,DetSen,,,Brgt
Project:GmsDevice_1_36_18,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'P'DetSen_1'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'P'DetSen_1'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,P,DetSen_1,,,Brgt
Project:GmsDevice_1_36_19,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_2.B10'Area3for2'Lgt'P'DetSen_2'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'P'DetSen_2'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,P,DetSen_2,,,Brgt
Project:GmsDevice_1_37_1,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen,,,Brgt
Project:GmsDevice_1_37_10,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_8'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_8'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_8,,,Brgt
Project:GmsDevice_1_37_11,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_9'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_9'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_9,,,Brgt
Project:GmsDevice_1_37_12,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_10'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_10'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_10,,,Brgt
Project:GmsDevice_1_37_13,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_11'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_11'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_11,,,Brgt
Project:GmsDevice_1_37_14,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_12'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_12'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_12,,,Brgt
Project:GmsDevice_1_37_2,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_1'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_1'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_1,,,Brgt
Project:GmsDevice_1_37_3,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_2'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_2'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_2,,,Brgt
Project:GmsDevice_1_37_4,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_3'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_3'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_3,,,Brgt
Project:GmsDevice_1_37_5,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_4'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_4'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_4,,,Brgt
Project:GmsDevice_1_37_6,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_5'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_5'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_5,,,Brgt
Project:GmsDevice_1_37_7,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_6'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_6'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_6,,,Brgt
Project:GmsDevice_1_37_9,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_3.B10'Area3for2'Lgt'O'DetSen_7'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'O'DetSen_7'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,O,DetSen_7,,,Brgt
Project:GmsDevice_1_31_4194310,Present_Value,Chilled ceiling valve BR-PIBCV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA11.B10'Area3for2'R'BR'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve BR-PIBCV-1,80,B10'Area3for2'R'BR'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,BR,,,,CcgVlvPos_1
Project:GmsDevice_1_32_4194314,Present_Value,Chilled ceiling valve HS-PIBCV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA12.B10'Area3for2'R'HS'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HS-PIBCV-1,80,B10'Area3for2'R'HS'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HS,,,,CcgVlvPos_1
Project:GmsDevice_1_32_4194334,Present_Value,Chilled ceiling valve HRO1-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA12.B10'Area3for2'R'HRO1'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HRO1-PICBV-1,80,B10'Area3for2'R'HRO1'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HRO1,,,,CcgVlvPos_1
Project:GmsDevice_1_32_4194347,Present_Value,Chilled ceiling valve HRO2-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA12.B10'Area3for2'R'HRO2'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HRO2-PICBV-1,80,B10'Area3for2'R'HRO2'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HRO2,,,,CcgVlvPos_1
Project:GmsDevice_1_32_4194360,Present_Value,Chilled ceiling valve HRM-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA12.B10'Area3for2'R'HRM'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HRM-PICBV-1,80,B10'Area3for2'R'HRM'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HRM,,,,CcgVlvPos_1
Project:GmsDevice_1_32_4194379,Present_Value,Chilled ceiling valve HRD-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA12.B10'Area3for2'R'HRD'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HRD-PICBV-1,80,B10'Area3for2'R'HRD'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HRD,,,,CcgVlvPos_1
Project:GmsDevice_1_33_4194334,Present_Value,Chilled ceiling valve P-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'P'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve P-PICBV-1,80,B10'Area3for2'R'P'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,P,,,,CcgVlvPos_1
Project:GmsDevice_1_33_4194347,Present_Value,Chilled ceiling valve FO1-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'FO1'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve FO1-PICBV-1,80,B10'Area3for2'R'FO1'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,FO1,,,,CcgVlvPos_1
Project:GmsDevice_1_33_4194360,Present_Value,Chilled ceiling valve FO2-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'FO2'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve FO2-PICBV-1,80,B10'Area3for2'R'FO2'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,FO2,,,,CcgVlvPos_1
Project:GmsDevice_1_33_4194364,Present_Value,Chilled ceiling valve O-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'O'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve O-PICBV-1,80,B10'Area3for2'R'O'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,O,,,,CcgVlvPos_1
Project:GmsDevice_1_34_4194314,Present_Value,Chilled ceiling valve FO3-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA14.B10'Area3for2'R'FO3'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve FO3-PICBV-1,80,B10'Area3for2'R'FO3'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,FO3,,,,CcgVlvPos_1
Project:GmsDevice_1_34_4194334,Present_Value,Chilled ceiling valve FS-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA14.B10'Area3for2'R'FS'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve FS-PICBV-1,80,B10'Area3for2'R'FS'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,FS,,,,CcgVlvPos_1
Project:GmsDevice_1_34_4194338,Present_Value,Chilled ceiling valve HSS-PICBV-1,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA14.B10'Area3for2'R'HSS'CcgVlvPos_1,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve HSS-PICBV-1,80,B10'Area3for2'R'HSS'CcgVlvPos_1,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,HSS,,,,CcgVlvPos_1
Project:GmsDevice_1_31_4194309,Present_Value,Chilled ceiling valve BR-PIBCV-2,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA11.B10'Area3for2'R'BR'CcgVlvPos_2,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve BR-PIBCV-2,80,B10'Area3for2'R'BR'CcgVlvPos_2,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,BR,,,,CcgVlvPos_2
Project:GmsDevice_1_33_4194333,Present_Value,Chilled ceiling valve P-PICBV-2,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'P'CcgVlvPos_2,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve P-PICBV-2,80,B10'Area3for2'R'P'CcgVlvPos_2,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,P,,,,CcgVlvPos_2
Project:GmsDevice_1_33_4194365,Present_Value,Chilled ceiling valve O-PICBV-2,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'O'CcgVlvPos_2,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve O-PICBV-2,80,B10'Area3for2'R'O'CcgVlvPos_2,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,O,,,,CcgVlvPos_2
Project:GmsDevice_1_33_4194363,Present_Value,Chilled ceiling valve O-PICBV-3,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'O'CcgVlvPos_3,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve O-PICBV-3,80,B10'Area3for2'R'O'CcgVlvPos_3,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,O,,,,CcgVlvPos_3
Project:GmsDevice_1_33_4194366,Present_Value,Chilled ceiling valve O-PICBV-4,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'O'CcgVlvPos_4,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve O-PICBV-4,80,B10'Area3for2'R'O'CcgVlvPos_4,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,O,,,,CcgVlvPos_4
Project:GmsDevice_1_33_4194367,Present_Value,Chilled ceiling valve O-PICBV-5,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA13.B10'Area3for2'R'O'CcgVlvPos_5,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve O-PICBV-5,80,B10'Area3for2'R'O'CcgVlvPos_5,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,O,,,,CcgVlvPos_5
Project:GmsDevice_1_31_8388662,Present_Value,Chilled ceiling valve position value,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.TRA11.B10'Area3for2'R'BR'Ccg'CcgVlvPosVal,Building Automation,50,ValveVariableCooling,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Chilled ceiling valve position value,80,B10'Area3for2'R'BR'Ccg'CcgVlvPosVal,Room Control,56,Cooling,7902,1,Valve,7900,9,[],B10,Area3for2,R,BR,Ccg,,,CcgVlvPosVal
Project:GmsDevice_1_2098247_20971740,Present_Value,Cooling demand,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.Site01'AS21.B10'Area3for2'A'Ahu1'DOAS'CDmd,Building Automation,50,MonitorStatus,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.DDC-HS-L3-01_C1.Cooling demand,80,B10'Area3for2'A'Ahu1'DOAS'CDmd,Unassigned,0,Binary,1102,1,Command,1100,9,[],B10,Area3for2,A,Ahu1,DOAS,,,CDmd
Project:GmsDevice_1_2098247_20971759,Present_Value,Cooling demand,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.Site01'AS21.B10'Area3for2'A'Ahu1'FCU'CDmd,Building Automation,50,MonitorStatus,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.DDC-HS-L3-01_C1.Cooling demand,80,B10'Area3for2'A'Ahu1'FCU'CDmd,Unassigned,0,Binary,1102,1,Command,1100,9,[],B10,Area3for2,A,Ahu1,FCU,,,CDmd
